Protein,Drug,CN,CQ,WG,TH,GL,FL,GM,HM,PM,GF,VF,WS,DT,GT,RW,CW,GW,HW,WW,nAcid,nH1,nS1,MATS1c,MATS2m,GATS2i,nBondsD,Kier2,khs.dNH,khs.aaN,TpiPC,MWC8,SRW3,ClassLabel
hsa:4920,D01441,0,0.002123,0.001062,0.002123,0.002123,0.004246,0.003185,0,0.004246,0.001062,0.002123,0.001062,0.004246,0.002123,0.002123,0.001062,0,0,0,0.090909,0.272727,0,0.555772,0.464794,0.533064,0.65,0.324126,0,0.75,0.722576,0.569741,0,Interactive
hsa:11238,D00340,0,0,0.006329,0,0.006329,0.006329,0,0,0,0,0.003165,0,0.003165,0,0.003165,0,0,0.006329,0,0.090909,0.063636,0.25,0.589817,0.426349,0,0.35,0.064471,0,0,0.523359,0.49318,0,Interactive
hsa:1559,D00512,0.00409,0,0,0.002045,0.002045,0.010225,0.00409,0.002045,0,0.00409,0.00409,0,0.002045,0.006135,0,0,0,0,0,0.090909,0.1,0,0.372729,0.402653,0.555247,0.4,0.104271,0,0,0.587872,0.52251,0,Interactive
hsa:4023,D00279,0.004219,0,0,0.00211,0.006329,0.00211,0.00211,0,0,0.00211,0.004219,0.004219,0.004219,0.006329,0,0,0.00211,0,0.00211,0.090909,0.127273,0,0.596382,0.426349,0,0.2,0.112085,0,0,0.377322,0.365495,0,Interactive
hsa:2548,D00216,0,0,0.003155,0.002103,0.007361,0.009464,0.001052,0,0.001052,0.003155,0.002103,0.001052,0.002103,0.003155,0.002103,0,0,0.001052,0.001052,0.090909,0.390909,0,0.542909,0.270528,0.822099,0.05,0.361753,0,0,0.520621,0.665657,0,Interactive
hsa:1558,D00410,0.00409,0,0,0.002045,0.006135,0.010225,0.00409,0.002045,0,0,0.006135,0,0.002045,0.00818,0.002045,0,0,0,0,0.090909,0.118182,0,0.772193,0.57727,0.496911,0.35,0.10374,0,0.5,0.501018,0.428809,0,Interactive
hsa:5333,D00501,0,0.001289,0,0,0.005155,0.006443,0,0,0.001289,0.005155,0.001289,0,0.001289,0.002577,0,0.001289,0.001289,0.002577,0.002577,0.090909,0.154545,0,0.42281,0.761614,0.468881,0.25,0.132408,0,0.25,0.492735,0.494573,0,Interactive
hsa:142679,D00184,0.006061,0,0,0,0,0.006061,0,0,0,0.012121,0,0,0.006061,0,0,0,0,0,0,0.090909,1,0,0.447,0.677396,0.65579,0.6,1,0,0,0.555928,0.739405,0,Interactive
hsa:4860,D00054,0,0,0,0,0.013889,0.003472,0.003472,0.003472,0,0.010417,0.010417,0,0.003472,0.003472,0,0,0,0,0,0.090909,0.1,0,0.54179,0.262913,0.605885,0.2,0.094532,0,0.25,0.553557,0.519824,0,Interactive
hsa:128853,D00184,0,0,0,0,0.007634,0,0,0,0,0.007634,0,0,0,0.007634,0,0,0.015267,0,0,0.090909,1,0,0.447,0.677396,0.65579,0.6,1,0,0,0.555928,0.739405,0,Interactive
hsa:5742,D02290,0,0.001672,0.001672,0.005017,0.010033,0.010033,0.001672,0,0.001672,0.003344,0.001672,0,0,0.003344,0.001672,0,0,0.001672,0,0.181818,0.109091,0,0.45074,0.487735,0.504664,0.35,0.121734,0,0,0.631042,0.425213,0,Interactive
hsa:4593,D03218,0,0,0,0.001279,0.007673,0.001279,0.002558,0,0.003836,0,0.002558,0.001279,0.002558,0.003836,0.001279,0.001279,0,0.001279,0,0.090909,0.154545,0.125,0.602828,0.502752,0.54443,0.6,0.225498,0,0.5,0.743266,0.531167,0,Interactive
hsa:1565,D00394,0,0,0.002016,0.004032,0.014113,0.020161,0.002016,0.004032,0,0.006048,0.006048,0,0.002016,0.002016,0.002016,0,0,0,0,0.090909,0.236364,0,0.844228,0.464265,0.544478,0.3,0.155595,0,0,0.623751,0.49652,0,Interactive
hsa:231,D00037,0,0.006349,0,0,0.012698,0,0,0,0.003175,0.003175,0.003175,0,0.006349,0.003175,0,0,0,0.003175,0,0.363636,0.063636,0,0.363121,0.679793,0.846811,0.15,0.084209,0,0,0.189707,0.311536,0,Interactive
hsa:5122,D00043,0,0,0.00266,0.00133,0.005319,0,0,0.00133,0.00133,0.003989,0.00133,0.00133,0.00266,0.006649,0,0,0.00133,0,0,0.090909,0.118182,0,0,0.908694,0.450569,0.05,0.060543,0,0,0.122853,0.233625,0,Interactive
hsa:5650,D00043,0.005556,0,0.011111,0.005556,0.005556,0,0,0,0,0,0,0,0.011111,0.022222,0,0,0.005556,0,0,0.090909,0.118182,0,0,0.908694,0.450569,0.05,0.060543,0,0,0.122853,0.233625,0,Interactive
hsa:2322,D01977,0.001008,0.002016,0,0.001008,0.00504,0.004032,0.001008,0,0.001008,0.004032,0.003024,0.001008,0.001008,0.004032,0,0.001008,0,0,0,0.090909,0.218182,0,0.601043,0.426349,0,0.4,0.267346,0,0.5,0.657047,0.544301,0,Interactive
hsa:28972,D00043,0,0.005952,0,0,0.005952,0,0,0,0,0.011905,0,0,0.005952,0,0,0,0.005952,0,0,0.090909,0.118182,0,0,0.908694,0.450569,0.05,0.060543,0,0,0.122853,0.233625,0,Interactive
hsa:4023,D01223,0.004219,0,0,0.00211,0.006329,0.00211,0.00211,0,0,0.00211,0.004219,0.004219,0.004219,0.006329,0,0,0.00211,0,0.00211,0.090909,0.2,0,0.333744,0.539903,0.615905,0.25,0.210882,0,0,0.528922,0.508263,0,Interactive
hsa:2051,D03350,0.00098,0.002941,0,0.00098,0.007843,0.002941,0.00098,0,0,0.002941,0.00098,0.00098,0.004902,0.005882,0.001961,0,0.001961,0.00098,0,0.090909,0.227273,0,0.597117,0.426349,0,0.5,0.309641,0,0.5,0.674883,0.558695,0,Interactive
hsa:4128,D01888,0,0,0,0.003802,0.005703,0.001901,0,0.001901,0.001901,0.005703,0,0.001901,0.001901,0.003802,0,0.001901,0,0,0,0.090909,0.154545,0,0.645025,0.464855,0.539809,0.15,0.093257,0,0,0.444683,0.367484,0,Interactive
hsa:5602,D03115,0,0.004751,0,0.002375,0.004751,0.002375,0.002375,0,0,0.002375,0.002375,0.002375,0,0.004751,0,0,0,0,0,0.090909,0.154545,0.125,0.57264,0.527812,0.540902,0.35,0.120883,0,0.25,0.633044,0.497119,0,Interactive
hsa:5147,D01704,0,0,0,0,0,0,0,0,0,0.013423,0,0,0,0.006711,0,0,0,0,0,0.181818,0.218182,0,0.54067,0.460926,0.585824,0.2,0.18423,0,0,0.561466,0.528074,0,Interactive
hsa:4128,D02561,0,0,0,0.003802,0.005703,0.001901,0,0.001901,0.001901,0.005703,0,0.001901,0.001901,0.003802,0,0.001901,0,0,0,0.090909,0.154545,0,0.609645,0.426349,0,0.2,0.151402,0,0,0.391611,0.356864,0,Interactive
hsa:35,D00005,0,0,0,0.002433,0.009732,0.002433,0.004866,0,0.002433,0.002433,0.002433,0,0,0.004866,0,0,0,0,0,0.272727,0.290909,0,0.3519,0.587329,0.559108,0.65,0.404095,0,0.75,0.743593,0.715046,0,Interactive
hsa:5168,D00501,0.00116,0.00116,0.00116,0.00348,0.00464,0.00464,0.00116,0,0.00116,0.0058,0.00232,0.00116,0.00116,0.00464,0.00232,0,0.00232,0.00116,0.00116,0.090909,0.154545,0,0.42281,0.761614,0.468881,0.25,0.132408,0,0.25,0.492735,0.494573,0,Interactive
