Protein,Drug,CN,CQ,WG,TH,GL,FL,GM,HM,PM,GF,VF,WS,DT,GT,RW,CW,GW,HW,WW,nAcid,nH1,nS1,MATS1c,MATS2m,GATS2i,nBondsD,Kier2,khs.dNH,khs.aaN,TpiPC,MWC8,SRW3,ClassLabel
hsa:5530,D00107,0,0,0,0.001923,0.005769,0.007692,0.001923,0,0.001923,0.005769,0.005769,0.003846,0,0.001923,0,0,0,0,0,0.090909,0.618182,0,0.618324,0.516789,0.642413,0.35,0.558827,0,0,0.563976,0.690316,0,Interactive
hsa:1594,D00542,0,0,0.001972,0.003945,0.005917,0.005917,0,0,0,0.001972,0.003945,0,0.003945,0.005917,0.003945,0,0,0.001972,0,0.090909,0,0,1,0.426349,0,0,0,0,0,0,0.109952,0,Interactive
hsa:590,D00667,0,0.001664,0.001664,0,0.006656,0.011647,0.001664,0,0,0.008319,0.004992,0.001664,0,0.006656,0.003328,0,0,0,0,0.090909,0.463636,0,0.450204,0.604147,0.462643,0.4,0.427528,0,0,0.533205,0.542403,0,Interactive
hsa:5150,D02731,0.002079,0,0,0.002079,0.010395,0.006237,0,0,0,0.004158,0,0.002079,0.004158,0.002079,0,0,0,0.002079,0,0.090909,0.290909,0.125,0.554619,0.714635,0.632614,0.45,0.258454,0,0.25,0.67329,0.62331,0,Interactive
hsa:5142,D00691,0,0.001776,0.001776,0.003552,0.003552,0.003552,0.001776,0.001776,0.001776,0.003552,0.001776,0,0.005329,0.001776,0,0,0,0,0,0.090909,0.118182,0,0.445558,0.647606,0.446504,0.2,0.098193,0,0.25,0.501874,0.494092,0,Interactive
hsa:2677,D00148,0,0,0.001321,0,0.01321,0.014531,0.002642,0,0,0.003963,0.006605,0.002642,0,0,0.001321,0,0,0.002642,0,0.090909,0.409091,0,0.719899,0.50455,0.599493,0.35,0.353954,0,0,0.588543,0.523341,0,Interactive
hsa:513,D00544,0,0,0,0,0.011976,0,0,0,0,0,0.005988,0,0,0.011976,0,0,0,0,0,0.090909,0.027273,0,1,0.426349,0,0,0.017736,0,0,0.03065,0.160968,0,Interactive
hsa:1565,D03778,0,0,0.002016,0.004032,0.014113,0.020161,0.002016,0.004032,0,0.006048,0.006048,0,0.002016,0.002016,0.002016,0,0,0,0,0.090909,0.109091,0,0.694454,0.335392,0.544866,0.25,0.092205,0,0.25,0.582926,0.449793,0,Interactive
hsa:762,D00650,0,0.003215,0.003215,0,0.003215,0.006431,0,0,0.003215,0.006431,0.003215,0.003215,0,0.006431,0,0,0,0.006431,0,0.090909,0.118182,0.25,0.379557,0.393476,0.393006,0.5,0.154695,0,0,0.649722,0.586773,0,Interactive
hsa:11072,D00184,0,0,0.005076,0,0.005076,0.005076,0,0,0,0.005076,0,0,0.005076,0,0,0,0,0,0,0.090909,1,0,0.447,0.677396,0.65579,0.6,1,0,0,0.555928,0.739405,0,Interactive
hsa:1543,D00960,0,0.001957,0.001957,0,0.007828,0.009785,0.001957,0.001957,0,0.003914,0.005871,0.001957,0.007828,0,0.001957,0,0.001957,0,0,0.090909,0.163636,0,0.70987,0.792168,0.390333,0.25,0.143728,0,0.5,0.59958,0.494537,0,Interactive
hsa:1565,D00139,0,0,0.002016,0.004032,0.014113,0.020161,0.002016,0.004032,0,0.006048,0.006048,0,0.002016,0.002016,0.002016,0,0,0,0,0.090909,0.063636,0,0.567225,0.577553,0.441599,0.3,0.066289,0,0,0.664624,0.478889,0,Interactive
