Protein,Drug,CN,CQ,WG,TH,GL,FL,GM,HM,PM,GF,VF,WS,DT,GT,RW,CW,GW,HW,WW,nAcid,nH1,nS1,MATS1c,MATS2m,GATS2i,nBondsD,Kier2,khs.dNH,khs.aaN,TpiPC,MWC8,SRW3,ClassLabel
hsa:11330,D01346,0.007491,0.003745,0.007491,0,0.003745,0,0,0,0,0.003745,0.003745,0,0.011236,0.003745,0.003745,0,0.003745,0,0.003745,0.181818,0.172727,0,0.40166,0.351334,0.660248,0.6,0.277245,0,0,0.582482,0.502061,0,Interactive
hsa:762,D00651,0,0.003215,0.003215,0,0.003215,0.006431,0,0,0.003215,0.006431,0.003215,0.003215,0,0.006431,0,0,0,0.006431,0,0.090909,0.118182,0.375,0.593499,0.426349,0,0.55,0.167534,0,0,0.629248,0.551571,0,Interactive
hsa:240,D00132,0.001486,0,0,0.002972,0.002972,0.005944,0.004458,0.001486,0,0.002972,0.001486,0,0.001486,0.001486,0.002972,0.001486,0,0.001486,0,0.181818,0.118182,0,0.480185,0.454584,0.548355,0.4,0.14026,0,0,0.562261,0.424348,0,Interactive
hsa:9420,D00574,0,0,0,0,0.005941,0.005941,0,0,0,0.00396,0.005941,0.00198,0.00396,0.00396,0,0,0.00396,0,0,0.090909,0.136364,0,0.403662,0.611163,0.602492,0.25,0.092205,0,0,0.468076,0.464114,0,Interactive
hsa:29785,D00394,0,0,0,0,0.007952,0.00994,0.001988,0,0.001988,0,0.005964,0,0.001988,0.017893,0.001988,0,0,0,0,0.090909,0.236364,0,0.844228,0.464265,0.544478,0.3,0.155595,0,0,0.623751,0.49652,0,Interactive
hsa:765,D00653,0,0,0.003257,0,0.009772,0.003257,0,0,0.003257,0,0,0,0,0.003257,0,0,0,0.009772,0,0.090909,0.145455,0.375,0.447699,0.797341,0.521551,0.3,0.085692,0,0,0.537188,0.531535,0,Interactive
hsa:199974,D00960,0,0,0,0,0.003968,0.005952,0,0,0,0.001984,0.009921,0,0.003968,0,0.003968,0,0,0.001984,0,0.090909,0.163636,0,0.70987,0.792168,0.390333,0.25,0.143728,0,0.5,0.59958,0.494537,0,Interactive
hsa:5150,D02655,0.002079,0,0,0.002079,0.010395,0.006237,0,0,0,0.004158,0,0.002079,0.004158,0.002079,0,0,0,0.002079,0,0.090909,0.163636,0,0.67359,0.815991,0.670001,0.3,0.16379,0,0.5,0.647224,0.488483,0,Interactive
hsa:4048,D00126,0,0.003279,0.003279,0.001639,0.001639,0.006557,0.001639,0,0.001639,0.003279,0,0.001639,0.004918,0.001639,0.003279,0,0.001639,0,0,0.181818,0.154545,0,0.56168,0.598105,0.547376,0.2,0.107854,0,0,0.385076,0.333838,0,Interactive
hsa:5096,D00065,0.001859,0,0,0.001859,0.003717,0.003717,0.001859,0,0,0.005576,0.003717,0,0.005576,0.001859,0,0,0,0,0,0.181818,0.118182,0,0.278215,0.59902,0.770571,0.05,0.054898,0,0,0.078214,0.143509,0,Interactive
hsa:1594,D00574,0,0,0.001972,0.003945,0.005917,0.005917,0,0,0,0.001972,0.003945,0,0.003945,0.005917,0.003945,0,0,0.001972,0,0.090909,0.136364,0,0.403662,0.611163,0.602492,0.25,0.092205,0,0,0.468076,0.464114,0,Interactive
hsa:5743,D01122,0.001658,0.001658,0.001658,0.003317,0.008292,0.004975,0,0,0,0.006633,0.001658,0,0.003317,0,0,0,0,0.001658,0,0.090909,0.2,0,0.580732,0.510809,0.578765,0.35,0.198593,0,0.25,0.499548,0.416121,0,Interactive
hsa:759,D00658,0,0,0.007692,0.003846,0.003846,0,0,0,0.003846,0,0,0.003846,0.003846,0,0,0,0,0.007692,0,0.090909,0.063636,0.25,1,0.426349,0,0.35,0.0922,0,0,0.554615,0.529522,0,Interactive
hsa:1558,D00960,0.00409,0,0,0.002045,0.006135,0.010225,0.00409,0.002045,0,0,0.006135,0,0.002045,0.00818,0.002045,0,0,0,0,0.090909,0.163636,0,0.70987,0.792168,0.390333,0.25,0.143728,0,0.5,0.59958,0.494537,0,Interactive
hsa:2064,D01441,0,0.003268,0.001634,0.004085,0.008987,0.002451,0.003268,0,0.000817,0.000817,0.004085,0.000817,0.002451,0.003268,0,0.002451,0,0,0,0.090909,0.272727,0,0.555772,0.464794,0.533064,0.65,0.324126,0,0.75,0.722576,0.569741,0,Interactive
hsa:1544,D00139,0,0,0.001942,0.001942,0.005825,0.01165,0.001942,0,0,0.003883,0.003883,0.001942,0.007767,0.001942,0,0,0.001942,0,0,0.090909,0.063636,0,0.567225,0.577553,0.441599,0.3,0.066289,0,0,0.664624,0.478889,0,Interactive
hsa:4758,D03829,0,0.004831,0.004831,0,0.004831,0.004831,0,0,0,0.002415,0.012077,0.012077,0.004831,0.012077,0.004831,0,0,0,0,0.181818,0.245455,0,0.347719,0.532964,0.716654,0.15,0.202343,0.5,0,0.37337,0.500513,0,Interactive
hsa:38,D00065,0.002347,0,0,0.002347,0.00939,0.002347,0.007042,0.002347,0,0,0.002347,0,0,0.002347,0,0,0,0,0,0.181818,0.118182,0,0.278215,0.59902,0.770571,0.05,0.054898,0,0,0.078214,0.143509,0,Interactive
hsa:55,D00103,0,0,0,0,0.007792,0.007792,0.002597,0.002597,0,0.005195,0.002597,0.005195,0.007792,0.002597,0,0,0,0,0,0.272727,0.045455,0,0.406929,0.350205,0.974688,0.1,0.057022,0,0,0.119542,0.198885,0,Interactive
hsa:6716,D03034,0,0.003953,0,0,0.011858,0.01581,0.003953,0,0,0,0.003953,0.003953,0,0.007905,0,0,0.003953,0,0,0.272727,0.136364,0,0.300292,0.34828,0.821104,0.1,0.178907,0,0,0.175488,0.115114,0,Interactive
hsa:1551,D00139,0,0.001992,0.001992,0.005976,0.003984,0.00996,0.003984,0,0.001992,0.001992,0.007968,0,0.003984,0.001992,0,0,0,0,0,0.090909,0.063636,0,0.567225,0.577553,0.441599,0.3,0.066289,0,0,0.664624,0.478889,0,Interactive
hsa:1636,D03077,0,0.000766,0.001533,0.001533,0.00613,0.003065,0,0.000766,0.000766,0.003065,0.001533,0.002299,0.003065,0.000766,0.001533,0.000766,0.004598,0,0.001533,0.272727,0.218182,0,0.414122,0.395146,0.698051,0.45,0.258002,0,0,0.566263,0.524245,0,Interactive
hsa:32,D00029,0.000407,0.000814,0.002442,0,0.004477,0.003663,0.002035,0.000407,0,0.002849,0.001628,0.000407,0.001628,0.003256,0.001221,0,0.000814,0.000407,0,0.181818,0.136364,0.125,0.274272,0.297117,0.699691,0.1,0.098369,0,0,0.326311,0.406361,0,Interactive
hsa:5598,D01840,0,0,0,0,0.006135,0.003681,0.002454,0,0.001227,0.001227,0.001227,0.001227,0.001227,0.002454,0.002454,0,0,0,0,0.090909,0.154545,0.125,0.57264,0.527812,0.540902,0.35,0.120883,0,0.25,0.633044,0.497119,0,Interactive
