Protein,Drug,CN,CQ,WG,TH,GL,FL,GM,HM,PM,GF,VF,WS,DT,GT,RW,CW,GW,HW,WW,nAcid,nH1,nS1,MATS1c,MATS2m,GATS2i,nBondsD,Kier2,khs.dNH,khs.aaN,TpiPC,MWC8,SRW3,ClassLabel
hsa:2595,D03433,0.001095,0,0,0.002191,0.006572,0.004381,0,0,0.001095,0.006572,0.005476,0.001095,0.003286,0.001095,0.002191,0.001095,0.001095,0.002191,0,0.090909,0.190909,0,0.524823,0.377843,0.807267,0.05,0.10931,0,0,0.353865,0.468617,0,Interactive
hsa:1581,D00528,0.001988,0,0.001988,0.001988,0.007952,0.005964,0.001988,0.001988,0.001988,0,0.003976,0.001988,0.005964,0,0,0,0,0,0,0.090909,0.081818,0,0.377391,0.983281,0.269295,0.2,0.044778,0,0.25,0.451708,0.461603,0,Interactive
hsa:1636,D00620,0,0.000766,0.001533,0.001533,0.00613,0.003065,0,0.000766,0.000766,0.003065,0.001533,0.002299,0.003065,0.000766,0.001533,0.000766,0.004598,0,0.001533,0.181818,0.254545,0,0.441436,0.42871,0.678356,0.45,0.296773,0,0,0.571387,0.533177,0,Interactive
hsa:11238,D00519,0,0,0.006329,0,0.006329,0.006329,0,0,0,0,0.003165,0,0.003165,0,0.003165,0,0,0.006329,0,0.090909,0.045455,0.25,0.590575,0.426349,0,0.4,0.064471,0,0,0.566836,0.49318,0,Interactive
hsa:1595,D00542,0,0,0.001969,0,0.005906,0.007874,0.003937,0,0,0.003937,0.007874,0.001969,0,0,0,0,0.001969,0,0,0.090909,0,0,1,0.426349,0,0,0,0,0,0,0.109952,0,Interactive
hsa:8654,D02042,0,0.001144,0,0.001144,0.003432,0.006865,0,0.001144,0,0.001144,0.001144,0,0.001144,0.003432,0.001144,0,0,0.001144,0,0.090909,0.081818,0,0.579592,0.583484,0.534743,0.35,0.104271,0,0.25,0.678028,0.483199,0,Interactive
hsa:22843,D00184,0,0,0,0.001326,0.001326,0.007958,0,0,0,0.001326,0.003979,0.002653,0.001326,0.006631,0,0,0,0,0,0.090909,1,0,0.447,0.677396,0.65579,0.6,1,0,0,0.555928,0.739405,0,Interactive
hsa:6799,D00418,0,0,0,0.006803,0,0.006803,0.006803,0.003401,0.003401,0,0,0,0,0.006803,0,0,0,0,0.003401,0.090909,0.136364,0,0.372332,0.577153,0.639,0.15,0.080605,0,0.25,0.437979,0.391557,0,Interactive
hsa:27034,D00005,0.002415,0,0,0,0.012077,0.002415,0,0,0,0.004831,0,0.002415,0.002415,0.002415,0,0,0.002415,0,0,0.272727,0.290909,0,0.3519,0.587329,0.559108,0.65,0.404095,0,0.75,0.743593,0.715046,0,Interactive
hsa:114,D00002,0,0,0.0016,0,0.0072,0.0104,0,0,0.0016,0.004,0.0048,0.0016,0.0008,0.004,0,0.0008,0,0,0,0.090909,0.227273,0,0.401897,0.531784,0.534885,0.5,0.328674,0,0.75,0.621701,0.669261,0,Interactive
hsa:260293,D00542,0,0.001969,0.001969,0.003937,0.005906,0.005906,0.001969,0,0,0.001969,0.003937,0,0.005906,0,0.001969,0,0,0.001969,0,0.090909,0,0,1,0.426349,0,0,0,0,0,0,0.109952,0,Interactive
hsa:1675,D00160,0.003968,0,0.003968,0.003968,0,0,0,0,0,0,0,0,0.003968,0.003968,0,0,0.003968,0,0,0.181818,0.118182,0,0.329607,0.304101,0.807379,0.05,0.113429,0,0,0.078214,0,0,Interactive
hsa:1589,D00225,0,0,0,0,0.008097,0.008097,0.002024,0.002024,0,0.002024,0.002024,0.004049,0,0.006073,0,0,0,0.002024,0.002024,0.090909,0.109091,0,0.628885,0.426349,0,0.45,0.122891,0,0.5,0.675874,0.543375,0,Interactive
hsa:2158,D02335,0.002174,0.002174,0.004348,0,0.002174,0.006522,0,0,0,0.004348,0.008696,0,0,0.002174,0,0.002174,0.002174,0,0,0.090909,0.063636,0,0.646877,0.629073,0.483585,0.3,0.0472,0,0,0.511896,0.400832,0,Interactive
