Protein,Drug,MR,FG,NL,WL,WT,KW,YY,MATS5m,MATS3e,SRW7,ClassLabel
hsa:6256,D00316,0.002169,0,0,0,0,0,0,0.264855,0.09958,0,Interactive
hsa:5241,D01217,0.001073,0.002146,0.003219,0,0,0.001073,0,0.57892,0.109416,0.726735,Interactive
hsa:2099,D00105,0.001684,0.001684,0.006734,0.001684,0,0,0.003367,0.715416,0.268515,0.726735,Interactive
hsa:5241,D00182,0.001073,0.002146,0.003219,0,0,0.001073,0,0.654,0.255558,0.742423,Interactive
hsa:5914,D00348,0,0.002169,0,0,0,0,0,0.36788,0.137049,0,Interactive
hsa:6256,D01132,0.002169,0,0,0,0,0,0,0.347171,0.194346,0,Interactive
hsa:190,D00094,0,0,0,0,0,0,0,0.36788,0.137049,0,Interactive
hsa:6257,D01132,0.003731,0,0,0.001866,0,0,0,0.347171,0.194346,0,Interactive
hsa:5241,D02367,0.001073,0.002146,0.003219,0,0,0.001073,0,0.485924,0.401888,0.742423,Interactive
hsa:8856,D04066,0,0.002309,0,0,0,0.002309,0,0.649131,0.338568,0.726735,NonInteractive
hsa:5465,D01132,0,0.004283,0.002141,0,0,0,0,0.347171,0.194346,0,NonInteractive
hsa:9970,D00965,0.00295,0,0,0.00295,0,0,0,0.218073,0.049517,0.742423,NonInteractive
hsa:9971,D00506,0.002105,0.002105,0.008421,0,0,0,0.002105,0,0.079094,0,NonInteractive
hsa:6257,D00182,0.003731,0,0,0.001866,0,0,0,0.654,0.255558,0.742423,NonInteractive
hsa:5468,D00348,0,0.006303,0.004202,0,0,0,0.002101,0.36788,0.137049,0,NonInteractive
hsa:4306,D00506,0.002035,0.001017,0.003052,0,0,0.001017,0.002035,0,0.079094,0,NonInteractive
hsa:190,D00627,0,0,0,0,0,0,0,0.391115,0.277811,0.830131,NonInteractive
hsa:5241,D00596,0.001073,0.002146,0.003219,0,0,0.001073,0,0.732285,0.065806,0.709213,NonInteractive
hsa:6095,D00211,0,0.003656,0.001828,0.001828,0,0,0,0.876644,0.204192,0.742423,NonInteractive
hsa:7421,D00898,0,0.002347,0.004695,0,0.002347,0,0,0.350632,0.143839,0,NonInteractive
hsa:3174,D00312,0.002252,0.004505,0.002252,0,0,0,0,0.794645,0.290742,0.726735,NonInteractive
hsa:6096,D00182,0.002183,0.002183,0.008734,0.002183,0,0,0.002183,0.654,0.255558,0.742423,NonInteractive
hsa:9970,D00094,0.00295,0,0,0.00295,0,0,0,0.36788,0.137049,0,NonInteractive
hsa:2100,D00565,0.002024,0.002024,0.004049,0,0,0,0,0.649131,0.338568,0,NonInteractive
hsa:2103,D01217,0,0.001972,0,0.001972,0,0,0,0.57892,0.109416,0.726735,NonInteractive
hsa:4306,D00690,0.002035,0.001017,0.003052,0,0,0.001017,0.002035,0.649131,0.338568,0.821591,NonInteractive
hsa:5241,D00585,0.001951,0.001544,0.003125,0,0,0.001048,0.000067,0.595946,0.084581,0.742423,Interactive
hsa:367,D00327,0.00163,0.001498,0.007391,0.000818,0,0.000763,0.000817,0.608185,0.394394,0.742423,Interactive
hsa:367,D00586,0.001393,0.002093,0.001511,0.001017,0,0.000586,0.000474,0.466685,0.073896,0,Interactive
hsa:2099,D04066,0.001457,0.003537,0.003916,0.000699,0,0,0.002867,0.649131,0.338568,0,Interactive
hsa:5241,D00066,0.001073,0.002146,0.003219,0,0,0.001073,0,0.564792,0.125088,0.726735,Interactive
hsa:5468,D02217,0.002012,0.002184,0.003527,0.000879,0,0,0,0.881561,0.226101,0.563665,Interactive
hsa:5241,D00066,0.001288,0.001613,0.003257,0.000631,0,0.001078,0.002045,0.592812,0.150406,0.726735,Interactive
hsa:5468,D01132,0.002057,0.005806,0.000941,0.001423,0,0,0.000397,0.672266,0.118,0.265952,Interactive
