Protein,Drug,MR,FG,NL,WL,WT,KW,YY,MATS5m,MATS3e,SRW7,ClassLabel
hsa:2908,D00088,0.001289,0,0.007732,0,0,0.001289,0,0.56945,0.471961,0.742423,Interactive
hsa:7421,D00187,0,0.002347,0.004695,0,0.002347,0,0,0.697163,0.143743,0.726735,Interactive
hsa:4306,D01115,0.002035,0.001017,0.003052,0,0,0.001017,0.002035,0.794372,0.075337,1,Interactive
hsa:7421,D00930,0,0.002347,0.004695,0,0.002347,0,0,0.618213,0.000816,0.726735,Interactive
hsa:6256,D00094,0.002169,0,0,0,0,0,0,0.36788,0.137049,0,Interactive
hsa:3174,D05341,0.002252,0.004505,0.002252,0,0,0,0,0.656123,0.292253,0,Interactive
hsa:2100,D00577,0.002024,0.002024,0.004049,0,0,0,0,0.372376,0.212044,0,Interactive
hsa:2908,D01689,0.001289,0,0.007732,0,0,0.001289,0,0.649131,0.338568,0.742423,Interactive
hsa:190,D01689,0,0,0,0,0,0,0,0.649131,0.338568,0.742423,NonInteractive
hsa:9971,D00627,0.002105,0.002105,0.008421,0,0,0,0.002105,0.391115,0.277811,0.830131,NonInteractive
hsa:190,D00327,0,0,0,0,0,0,0,0.725041,0.324524,0.742423,NonInteractive
hsa:2101,D02217,0,0,0,0,0,0,0,0.865162,0.237114,0.726735,NonInteractive
hsa:9970,D00554,0.00295,0,0,0.00295,0,0,0,0.661146,0.270482,0.742423,NonInteractive
hsa:4306,D04066,0.002035,0.001017,0.003052,0,0,0.001017,0.002035,0.649131,0.338568,0.726735,NonInteractive
hsa:2103,D00088,0,0.001972,0,0.001972,0,0,0,0.56945,0.471961,0.742423,NonInteractive
hsa:9970,D01441,0.00295,0,0,0.00295,0,0,0,1,0.200315,0,NonInteractive
hsa:8856,D00577,0,0.002309,0,0,0,0.002309,0,0.372376,0.212044,0,NonInteractive
hsa:7421,D00443,0,0.002347,0.004695,0,0.002347,0,0,0.780943,0.038686,0.830131,NonInteractive
hsa:5915,D00279,0,0.002237,0,0,0,0,0,0.649131,0.338568,0,NonInteractive
hsa:6095,D00585,0,0.003656,0.001828,0.001828,0,0,0,0.658771,0.196646,0.742423,NonInteractive
hsa:6256,D01115,0.002169,0,0,0,0,0,0,0.794372,0.075337,1,NonInteractive
hsa:6095,D00961,0,0.003656,0.001828,0.001828,0,0,0,0.745656,0,0,NonInteractive
hsa:9970,D00565,0.00295,0,0,0.00295,0,0,0,0.649131,0.338568,0,NonInteractive
hsa:5916,D00961,0,0.002208,0,0,0,0,0,0.745656,0,0,NonInteractive
hsa:7421,D00316,0,0.002347,0.004695,0,0.002347,0,0,0.264855,0.09958,0,NonInteractive
hsa:2099,D04066,0.001135,0.003246,0.003216,0,0,0,0,0.649131,0.338568,0.121342,Interactive
hsa:2099,D00577,0,0,0,0,0,0,0,0.372376,0.212044,0,Interactive
hsa:5241,D01294,0.001774,0.003527,0.002173,0.001149,0,0,0.001796,0.631328,0.17016,0.726735,Interactive
hsa:367,D00327,0.002035,0.001017,0.003052,0,0,0.001017,0.002035,0.793995,0.039718,0.879226,Interactive
hsa:5915,D00316,0.001187,0.000746,0,0,0,0,0,0.264855,0.09958,0,Interactive
hsa:5241,D00585,0.001759,0.00138,0.005648,0.001674,0,0.000428,0.002467,0.584464,0.170248,0.742423,Interactive
hsa:2099,D00954,0.001255,0.001921,0.003983,0.000439,0,0.000792,0.003182,0.537659,0.044448,0.742423,Interactive
hsa:5914,D01132,0.00022,0.002209,0.00045,0.001632,0,0,0.001561,0.347171,0.194346,0,Interactive
hsa:367,D00327,0.001602,0.000683,0.004539,0.000351,0,0.001266,0.000063,0.669217,0.377994,0.742423,Interactive
