Protein,Drug,MR,FG,NL,WL,WT,KW,YY,MATS5m,MATS3e,SRW7,ClassLabel
hsa:2099,D00066,0.001684,0.001684,0.006734,0.001684,0,0,0.003367,0.5485,0.126526,0.726735,Interactive
hsa:6097,D00094,0.002016,0.002016,0.004032,0,0,0,0,0.36788,0.137049,0,Interactive
hsa:5915,D00094,0,0.002237,0,0,0,0,0,0.36788,0.137049,0,Interactive
hsa:5916,D01132,0,0.003656,0.001828,0.001828,0,0,0,0.347171,0.194346,0,Interactive
hsa:367,D00956,0.002176,0.001088,0.003264,0.001088,0,0.001088,0.002176,0.742389,0.194721,0.726735,Interactive
hsa:5915,D00316,0,0.002237,0,0,0,0,0,0.264855,0.09958,0,Interactive
hsa:367,D00586,0.002176,0.001088,0.003264,0.001088,0,0.001088,0.002176,0.984643,0.190437,0,Interactive
hsa:5241,D00951,0.001073,0.002146,0.003219,0,0,0.001073,0,0.510818,0.250743,0.742423,Interactive
hsa:5914,D01132,0,0.002169,0,0,0,0,0,0.347171,0.194346,0,Interactive
hsa:2101,D00951,0,0,0,0,0,0,0,0.510818,0.250743,0.742423,NonInteractive
hsa:5241,D00211,0.001073,0.002146,0.003219,0,0,0.001073,0,0.876644,0.204192,0.742423,NonInteractive
hsa:3174,D00187,0.002252,0.004505,0.002252,0,0,0,0,0.697163,0.143743,0.726735,NonInteractive
hsa:6096,D00506,0.002183,0.002183,0.008734,0.002183,0,0,0.002183,0,0.079094,0,NonInteractive
hsa:5241,D00163,0.001073,0.002146,0.003219,0,0,0.001073,0,0.675961,0.163768,0.726735,NonInteractive
hsa:190,D00075,0,0,0,0,0,0,0,0.731771,0.234735,0.726735,NonInteractive
hsa:5468,D00730,0,0.006303,0.004202,0,0,0,0.002101,0.531093,0.316901,0,NonInteractive
hsa:4306,D00965,0.002035,0.001017,0.003052,0,0,0.001017,0.002035,0.218073,0.049517,0.742423,NonInteractive
hsa:6096,D01161,0.002183,0.002183,0.008734,0.002183,0,0,0.002183,0.732096,1,0.726735,NonInteractive
hsa:2100,D01689,0.002024,0.002024,0.004049,0,0,0,0,0.649131,0.338568,0.742423,NonInteractive
hsa:9971,D01689,0.002105,0.002105,0.008421,0,0,0,0.002105,0.649131,0.338568,0.742423,NonInteractive
hsa:190,D00961,0,0,0,0,0,0,0,0.745656,0,0,NonInteractive
hsa:2103,D00961,0,0.001972,0,0.001972,0,0,0,0.745656,0,0,NonInteractive
hsa:5916,D00554,0,0.002208,0,0,0,0,0,0.661146,0.270482,0.742423,NonInteractive
hsa:2100,D00143,0.002024,0.002024,0.004049,0,0,0,0,0.54603,0.106526,0.726735,NonInteractive
hsa:2104,D01294,0,0,0,0,0,0,0,0.552316,0.005039,0.742423,NonInteractive
hsa:6096,D00163,0.002183,0.002183,0.008734,0.002183,0,0,0.002183,0.675961,0.163768,0.726735,NonInteractive
hsa:6097,D00088,0.002016,0.002016,0.004032,0,0,0,0,0.56945,0.471961,0.742423,NonInteractive
hsa:2099,D00577,0,0.000958,0,0.00114,0,0,0,0.372376,0.212044,0,Interactive
hsa:2099,D01161,0.000343,0.001888,0.006276,0.000643,0,0.001378,0.000927,0.816695,0.347579,0.727327,Interactive
hsa:2099,D00105,0.002155,0.001499,0.004465,0.001141,0,0.000524,0.003175,0.728238,0.254342,0.726735,Interactive
hsa:2099,D01161,0.001986,0.001774,0.006006,0.000784,0,0,0.000611,0.732096,1,0.726735,Interactive
hsa:2099,D02217,0.001873,0.006261,0.004174,0,0,0,0.000387,0.590971,0.255755,0.786229,Interactive
hsa:2099,D00950,0.001143,0.001992,0.003867,0.000357,0,0.000502,0.003134,0.488026,0.286714,0.742423,Interactive
hsa:5915,D00094,0.002026,0.001857,0.000383,0,0,0,0,0.36788,0.137049,0,Interactive
hsa:5468,D02217,0.001407,0.002253,0.004183,0,0,0,0.001136,0.528266,0.266643,0.78598,Interactive
hsa:367,D00898,0.002176,0.001088,0.003264,0.001088,0,0.001088,0.002176,0.588139,0.10427,0.047715,Interactive
