Protein,Drug,LN,ED,DC,MH,GI,CL,VL,CT,CW,MY,VY,nAcid,nO,MATS7e,MATS1p,C1SP2,nHBDon_Lipinski,MLFER_A,nG12Ring,nT9Ring,RotBFrac,MWC7,SRW9,TSRW,WTPT.5,ClassLabel
hsa:154,D00095,0.002427,0.004854,0,0.002427,0.004854,0.004854,0.007282,0,0.002427,0,0.004854,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922,Interactive
hsa:1132,D00113,0.002092,0,0,0,0,0,0.008368,0,0,0,0.002092,0,0.1875,0.439462,0.624222,0.125,0.117647,0.091185,0,0,0.263975,0.56689,0.830296,0.562059,0.112121,Interactive
hsa:134,D00227,0.006154,0.003077,0,0,0.003077,0.003077,0.015385,0,0.003077,0,0.006154,0,0.125,1,0.186961,0.25,0.058824,0.294529,0,0.25,0,0.478253,0.789848,0.48173,0.425241,Interactive
hsa:2917,D00775,0.002188,0.004376,0,0,0.003282,0,0.00547,0.004376,0.001094,0.002188,0.003282,0,0.0625,0.477209,0.732816,0,0.117647,0.244073,0,0.25,0.151786,0.449174,0.810596,0.452078,0.190077,Interactive
hsa:154,D00635,0.002427,0.004854,0,0.002427,0.004854,0.004854,0.007282,0,0.002427,0,0.004854,0,0.1875,0.584092,0.510142,0,0.176471,0.172644,0,0,0.575188,0.341821,0,0.324518,0.097557,Interactive
hsa:151,D00513,0.004454,0.004454,0,0,0,0.002227,0.013363,0.002227,0.002227,0,0.004454,0,0.125,0.558162,0.634936,0.125,0.235294,0.28541,0,0.25,0.383459,0.444315,0.786981,0.432792,0.202032,Interactive
hsa:1129,D00760,0,0.002151,0,0,0,0,0.008602,0.002151,0,0,0,0,1,0.579952,0.335029,0.25,0,0.168997,0,0,0.44575,1,0,1,0.252531,Interactive
hsa:3356,D01164,0.004255,0.002128,0.002128,0.002128,0.004255,0.006383,0.006383,0,0,0,0.002128,0,0.125,0.580076,0.613592,0.125,0.117647,0.047112,0,0,0.257576,0.648092,0,0.649731,0.340403,Interactive
hsa:1812,D00503,0.008989,0.002247,0,0,0.002247,0,0.006742,0,0.002247,0,0.002247,0,0.0625,0.580076,0.613592,0,0.176471,0.105471,0,0,0.242857,0.651263,0,0.643447,0.354536,Interactive
hsa:154,D01454,0.002427,0.004854,0,0.002427,0.004854,0.004854,0.007282,0,0.002427,0,0.004854,0,0.125,0.580076,0.613592,0,0.176471,0.172644,0,0,0.404762,0.389715,0,0.402485,0.097675,Interactive
hsa:147,D02361,0.001927,0.001927,0,0,0.001927,0.003854,0.011561,0.001927,0.001927,0.001927,0.001927,0,0.0625,0.511845,0.636816,0,0.058824,0.121884,0,0,0.233516,0.638662,0,0.6257,0.222457,Interactive
hsa:1129,D00540,0,0.002151,0,0,0,0,0.008602,0.002151,0,0,0,0,0.1875,0.512764,0.561815,0.125,0.058824,0.197872,0,0,0.242857,0.636102,0.866544,0.637693,0.115336,Interactive
hsa:23620,D01717,0.002445,0,0,0,0,0.002445,0.01956,0.002445,0.002445,0.00489,0,0.333333,0.125,0.588677,0.691953,0.125,0.117647,0.34772,0,0,0.142857,0.752795,0,0.760918,0.20435,Interactive
hsa:154,D02359,0.002427,0.004854,0,0.002427,0.004854,0.004854,0.007282,0,0.002427,0,0.004854,0,0.1875,0.652462,0.810602,0,0.294118,0.529787,0,0,0.331169,0.4617,0,0.461001,0.101604,Interactive
hsa:1812,D00283,0.008989,0.002247,0,0,0.002247,0,0.006742,0,0.002247,0,0.002247,0,0,0.580076,0.613592,0.125,0.117647,0.074772,0,0,0.046703,0.631555,0.640982,0.606959,0.446157,Interactive
hsa:152,D04034,0.004338,0,0,0,0.002169,0.002169,0.010846,0.002169,0.002169,0,0.004338,0.333333,0.25,0.537517,0.843566,0.125,0.176471,0.677812,0,0,0.186813,0.608257,0,0.590681,0,Interactive
hsa:3356,D01713,0.004255,0.002128,0.002128,0.002128,0.004255,0.006383,0.006383,0,0,0,0.002128,0,0,0.570427,0.68367,0,0.117647,0.222796,0,0,0,0.629285,0.839979,0.596803,0.311939,Interactive
hsa:146,D00609,0,0.001751,0.001751,0,0.001751,0,0.010508,0.003503,0.001751,0.001751,0.003503,0,0.25,0.655386,0.392985,0.375,0.117647,0.244073,0,0,0.195853,0.685024,0.749822,0.676429,0.538856,Interactive
hsa:150,D02076,0.00431,0,0,0,0.002155,0.00431,0.006466,0.002155,0.002155,0,0.002155,0,0,0.580076,0.613592,0.25,0.117647,0.278419,0,0,0.12782,0.498191,0.745791,0.491853,0.520128,Interactive
hsa:153,D03881,0,0,0,0.002101,0.002101,0.002101,0.010504,0.002101,0.002101,0,0.002101,0,0.1875,0.572627,0.796086,0,0.294118,0.587842,0,0,0.369565,0.457343,0,0.459174,0.101814,Interactive
hsa:150,D00283,0.00431,0,0,0,0.002155,0.00431,0.006466,0.002155,0.002155,0,0.002155,0,0,0.580076,0.613592,0.125,0.117647,0.074772,0,0,0.046703,0.631555,0.640982,0.606959,0.446157,Interactive
hsa:3351,D00283,0.002571,0.002571,0,0,0.002571,0,0.002571,0.005141,0.005141,0.002571,0.007712,0,0,0.580076,0.613592,0.125,0.117647,0.074772,0,0,0.046703,0.631555,0.640982,0.606959,0.446157,Interactive
hsa:3357,D01164,0,0,0,0.002083,0.010417,0,0.010417,0,0,0.002083,0.002083,0,0.125,0.580076,0.613592,0.125,0.117647,0.047112,0,0,0.257576,0.648092,0,0.649731,0.340403,Interactive
hsa:3357,D00451,0,0,0,0.002083,0.010417,0,0.010417,0,0,0.002083,0.002083,0,0.125,0.694699,0.514835,0.125,0.176471,0.38997,0,0.25,0.346939,0.526686,0.812953,0.521765,0.298512,Interactive
hsa:1814,D00503,0.010025,0,0,0,0,0,0.015038,0.002506,0.002506,0,0.005013,0,0.0625,0.580076,0.613592,0,0.176471,0.105471,0,0,0.242857,0.651263,0,0.643447,0.354536,Interactive
hsa:1816,D02671,0.010504,0.002101,0.002101,0,0,0.002101,0.004202,0,0.002101,0,0,0,0.0625,0.543698,0.658845,0,0.058824,0.168997,0,0,0.167488,0.664465,0,0.657674,0.233113,Interactive
hsa:151,D00996,0.004454,0.004454,0,0,0,0.002227,0.013363,0.002227,0.002227,0,0.004454,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922,Interactive
hsa:147,D01603,0.001927,0.001927,0,0,0.001927,0.003854,0.011561,0.001927,0.001927,0.001927,0.001927,0,0,0.472787,0.535708,0,0.176471,0.195441,0,0,0.373626,0.203643,0,0.191374,0.288115,Interactive
hsa:3351,D00415,0.002571,0.002571,0,0,0.002571,0,0.002571,0.005141,0.005141,0.002571,0.007712,0,0.125,0.5539,0.55416,0.125,0.176471,0.385714,0,0.25,0.263975,0.552842,0.879238,0.535746,0.310254,Interactive
hsa:154,D00255,0.002427,0.004854,0,0.002427,0.004854,0.004854,0.007282,0,0.002427,0,0.004854,0,0.25,0.622627,0.613437,0,0.235294,0.238298,0,0.5,0.367965,0.665246,0.841824,0.653529,0.210284,Interactive
hsa:1128,D00525,0,0.002179,0.002179,0,0.002179,0,0.010893,0.002179,0,0,0,0,0.125,0.521201,0.392498,0.25,0,0.168997,0,0,0.227679,0.437751,0.876532,0.424128,0.21088,Interactive
hsa:1129,D00454,0,0.002151,0,0,0,0,0.008602,0.002151,0,0,0,0,0,0.521593,0.634856,0.25,0.117647,0.074772,0,0,0.048571,0.631613,0.836199,0.601412,0.4456,Interactive
hsa:3362,D00451,0.004556,0,0.002278,0,0.004556,0.004556,0.01139,0.002278,0,0,0,0,0.125,0.694699,0.514835,0.125,0.176471,0.38997,0,0.25,0.346939,0.526686,0.812953,0.521765,0.298512,Interactive
hsa:2918,D01346,0.001103,0.002205,0,0.001103,0.003308,0,0.002205,0.002205,0.001103,0.002205,0.00441,0.333333,0.3125,0.519658,0.757993,0.375,0.235294,0.549848,0,0,0.341518,0.606312,0,0.598832,0.208887,Interactive
hsa:151,D03274,0.004454,0.004454,0,0,0,0.002227,0.013363,0.002227,0.002227,0,0.004454,0,0,0.580076,0.613592,0,0.058824,0.168997,0,0,0.21118,0.583729,0,0.572447,0.222951,Interactive
hsa:148,D00426,0.002151,0.002151,0,0,0.002151,0.002151,0.015054,0.006452,0.002151,0.002151,0.002151,0,0.125,0.53773,0.577158,0.25,0.058824,0.168997,0,0.25,0.142857,0.722824,0.815264,0.719554,0.44747,Interactive
hsa:3269,D00521,0.006173,0.00823,0,0,0,0.006173,0.00823,0,0.002058,0,0,0,0.125,0.562404,0.701535,0,0.176471,0.378723,0,0,0.287594,0.733503,0,0.739392,0.11735,Interactive
hsa:152,D00281,0.004338,0,0,0,0.002169,0.002169,0.010846,0.002169,0.002169,0,0.004338,0,0,0.580076,0.613592,0,0.117647,0.317021,0,0,0.080952,0.379507,0.745791,0.37341,0.309316,Interactive
hsa:10800,D01828,0,0,0,0,0.005952,0,0.014881,0.002976,0,0,0.008929,0.333333,0.25,0.240718,0.727867,0.375,0.176471,0.422796,0,0,0.10119,0.642323,0,0.637589,0.19229,Interactive
hsa:1128,D02356,0,0.002179,0.002179,0,0.002179,0,0.010893,0.002179,0,0,0,0,0.25,0.569298,0.443989,0,0.058824,0.168997,0,0,0.464286,0.673047,0,0.675443,0.194012,Interactive
hsa:1814,D02671,0.010025,0,0,0,0,0,0.015038,0.002506,0.002506,0,0.005013,0,0.0625,0.543698,0.658845,0,0.058824,0.168997,0,0,0.167488,0.664465,0,0.657674,0.233113,Interactive
hsa:148,D01965,0.002151,0.002151,0,0,0.002151,0.002151,0.015054,0.006452,0.002151,0.002151,0.002151,0,0.25,0.566376,0.603252,0.125,0.294118,0.364134,0,0.25,0.459459,0.691631,0.815264,0.682982,0.303467,Interactive
hsa:147,D02237,0.001927,0.001927,0,0,0.001927,0.003854,0.011561,0.001927,0.001927,0.001927,0.001927,0,0,0.444371,0.565786,0,0.294118,0.202128,0,0,0.346939,0.187659,0,0.147441,0.376936,Interactive
hsa:3355,D00676,0.008219,0.00274,0,0,0.00274,0,0.008219,0.00274,0.00274,0,0.00274,0,0.125,0.694699,0.514835,0.125,0.176471,0.38997,0,0.25,0.346939,0.526686,0.812953,0.521765,0.298512,Interactive
hsa:1133,D02070,0.001883,0.003766,0,0,0.003766,0.001883,0.007533,0,0.001883,0,0.001883,0,0.1875,0.511667,0.556108,0.125,0.058824,0.197872,0,0,0.21118,0.603721,0.852335,0.614672,0.118617,Interactive
hsa:148,D01692,0.002151,0.002151,0,0,0.002151,0.002151,0.015054,0.006452,0.002151,0.002151,0.002151,0,0.25,0.606148,0.411076,0.25,0.176471,0.308815,0,0,0.364286,0.636444,0.749822,0.628504,0.512781,Interactive
hsa:185,D04040,0.00838,0.002793,0.005587,0,0.00838,0.005587,0.005587,0,0,0,0.002793,0.666667,0.25,0.549475,0.704043,0.625,0.117647,0.526444,0,0,0.379464,0.633635,0.865047,0.612515,0.227005,Interactive
hsa:153,D03415,0,0,0,0.002101,0.002101,0.002101,0.010504,0.002101,0.002101,0,0.002101,0,0.25,0.622627,0.613437,0,0.235294,0.238298,0,0.5,0.367965,0.665246,0.841824,0.653529,0.210284,Interactive
hsa:5731,D02721,0.002494,0,0,0,0.002494,0,0.007481,0,0.002494,0,0.002494,0.333333,0.25,0.543367,0.743596,0.125,0.176471,0.557447,0,0,0.359788,0.581759,0.906609,0.561085,0,Interactive
hsa:11255,D00494,0.006757,0,0,0,0,0,0.013514,0.002252,0.009009,0,0,0,0,0.487998,0.63935,0,0.058824,0.121884,0,0,0.165584,0.581828,0,0.570641,0.222022,Interactive
