Protein,Drug,LN,ED,DC,MH,GI,CL,VL,CT,CW,MY,VY,nAcid,nO,MATS7e,MATS1p,C1SP2,nHBDon_Lipinski,MLFER_A,nG12Ring,nT9Ring,RotBFrac,MWC7,SRW9,TSRW,WTPT.5,ClassLabel
hsa:1128,D00465,0,0.002179,0.002179,0,0.002179,0,0.010893,0.002179,0,0,0,0,0.1875,0.542888,0.586987,0.125,0.117647,0.197872,0,0,0.359788,0.585418,0,0.581597,0.109074,Interactive
hsa:1268,D00306,0.004246,0.004246,0.002123,0,0,0.006369,0.016985,0,0.002123,0.002123,0.006369,0,0.125,0.337406,0.667204,0,0.058824,0.334043,0,0,0.194286,0.659898,0,0.657665,0,Interactive
hsa:3358,D02354,0.006565,0,0,0.002188,0.006565,0.002188,0.013129,0,0,0,0.002188,0,0,0.571418,0.667888,0,0.117647,0.074772,0,0,0.242857,0.652511,0,0.64354,0.347816,Interactive
hsa:1813,D00790,0.00905,0.002262,0.002262,0,0,0,0.011312,0.006787,0.002262,0,0.006787,0,0,0.580076,0.613592,0,0.058824,0.168997,0,0,0.158385,0.583729,0,0.572447,0.10141,Interactive
hsa:155,D02066,0.002457,0,0,0,0,0,0.012285,0.002457,0.002457,0,0.002457,0,0.1875,0.558204,0.790941,0,0.294118,0.453495,0,0,0.32381,0.34345,0,0.342184,0.097785,Interactive
hsa:3577,D00542,0.011461,0.002865,0,0.002865,0.002865,0.005731,0.011461,0,0.005731,0,0.002865,0,0,0.580076,0.613592,0,0,0.174772,0,0,0.202381,0,0,0.081764,0,Interactive
hsa:148,D00255,0.002151,0.002151,0,0,0.002151,0.002151,0.015054,0.006452,0.002151,0.002151,0.002151,0,0.25,0.622627,0.613437,0,0.235294,0.238298,0,0.5,0.367965,0.665246,0.841824,0.653529,0.210284,Interactive
hsa:3350,D00451,0.004751,0.002375,0,0,0.004751,0,0.019002,0.004751,0.002375,0,0,0,0.125,0.694699,0.514835,0.125,0.176471,0.38997,0,0.25,0.346939,0.526686,0.812953,0.521765,0.298512,Interactive
hsa:3356,D02340,0.004255,0.002128,0.002128,0.002128,0.004255,0.006383,0.006383,0,0,0,0.002128,0,0.0625,0.580076,0.613592,0.125,0.058824,0.074772,0,0,0.046703,0.632481,0.640982,0.607064,0.337729,Interactive
hsa:3352,D00675,0.013298,0,0.00266,0,0.00266,0.00266,0.013298,0.00266,0.005319,0,0,0,0,0.552718,0.499161,0.125,0.117647,0.281763,0,0.25,0.275974,0.531216,0.866544,0.512104,0.526651,Interactive
hsa:148,D01713,0.002151,0.002151,0,0,0.002151,0.002151,0.015054,0.006452,0.002151,0.002151,0.002151,0,0,0.570427,0.68367,0,0.117647,0.222796,0,0,0,0.629285,0.839979,0.596803,0.311939,Interactive
